competition,season,source,field_name,pit_status,count,total,rate
LL,2014/15,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2014/15,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2014/15,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2014/15,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2014/15,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2014/15,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2014/15,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2014/15,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2015/16,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2015/16,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2015/16,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2015/16,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2016/17,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2016/17,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2016/17,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2016/17,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2017/18,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2017/18,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2017/18,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2017/18,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2018/19,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2018/19,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2018/19,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2018/19,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2019/20,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2019/20,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2019/20,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2019/20,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2020/21,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2020/21,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2020/21,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2020/21,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2021/22,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
